2025 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark
144,"16 May, 2025","5 June, 2025","IPHARM, NIBM",NIBM-IPH/PRC/TEN/03/2025-003,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI ANIMAL BIOSAFETY LEVEL III NEGATIVE PRESSURE CAGES BAGI MAKMAL BIOKESELAMATAN HAIWAN KELAS III (ABSL-III) DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM) ",Choi,Fenshi,Cages,"RM965,110.00","5 June, 2025",Hardcopy by Hand,,,
145,"29 May, 2025","12 June, 2025","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/01 /2025-005,"MEMBEKAL,MENGHANTAR,MEMASANG,MENGUJIDAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI FULLY AUTOMATED ROTARY MICROTOME DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,RWD,Automated Rotary Microtome,"RM73,000.00","10 June, 2025",Hardcopy by Courier,Yes,,
146,"9 June, 2025","16 June, 2025",UM,K/K08/2025/06/2152,CONSUMABLE FOR FURNACE,Afif,Multiple Items,Consumables,"RM8,500.00","11 June, 2025",Online Bidding,Yes,,
147,"29 May, 2025","12 June, 2025","ABI, NIBM",NIBM-ABI/PRC/RFQ/01/2025-007,"PEROLEHAN MEMBEKAL, MENGHANTAR, MEMASANG DAN MENTAULIAH BAGI PERALATAN AUTOCLAVE 100L DI INSTITUT AGRO-BIOTEKNOLOGI MALAYSIA (ABI), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,ALP,Autoclave,"RM103,125.00","11 June, 2025",Hardcopy by Hand,,,
148,"4 June, 2025","19 June, 2025",UMT,UMT/FSSM/PT5/2025,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA PERALATAN MAKMAL UNTUK KEGUNAAN UNIVERSITI MALAYSIA TERENGGANU ",Hock Seng,Keysight/ Kyoritsu,Set Multimeter,RM47440.00,"19 June, 2025",Hardcopy by Hand,Yes,,
149,"6 June, 2025","19 June, 2025",MGVI,NIBM-MGVI/PRC/RFQ/04/2025-007,"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI SATU (1) UNIT REFRIGERATED CENTRIFUGE (15, 50 ML) BAGI PROJEK DPVN mRNA VACCINE DI INSTITUT GENOM DAN VAKSIN MALAYSIA (MGVI), INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",ET Lim,Cence,Refrigerated Centrifuge,"RM56,100.00","19 June, 2025",Hardcopy by Hand,,,DMB Kembara
150,"17 June, 2025","19 June, 2025",UKM,NETSDP202512467,PERKHIDMATAN BAIKPULIH ALATAN MAKMAL (SPIN COATER) MENGGUNAKAN (DPG-2024-08) - PM DR.NORASIKIN AHMAD LUDIN / MOHD ARIF MOKHTAR,Shahrul,SPS Germany,Vacuum Chuck for Spin Coater,"RM4,800.00","18 June, 2025",Online Bidding,Yes,,
151,"11 June, 2025","18 June, 2025",Makmal Veterinar Zon Utara,QT250000000007966,MEMBEKAL PERALATAN PENGUJIAN MOLEKULAR BAGI PENYAKIT BUKAN RUMINAN DI MAKMAL VETERINAR ZON UTARA (PULAU PINANG),Choi,,Multiple items,"RM154,450.00","18 June, 2025",Online Bidding,No,MATRIOUX (M) SDN. BHD.,
152,"13 June, 2025","18 June, 2025",UKM,NETSDP202512334,"MEMBEKAL, MENGHANTAR DAN MEMASANG DAN MENGUJITAULIAH ALAT PENYELIDIKAN DI MAKMAL INBIOSIS : PROBE SONICATOR WITH SOUND ENCLOSURE (RP5)",Suzanna,Qsonica,Q500E-200,"RM38,690.00","18 June, 2025",Online Bidding,No,"STRAITS SCIENTIFIC (M) SDN BHD
",
153,"18 June, 2025","20 June, 2025",UKM,"
NETSDP202512604","PERKHIDMATAN PENYELENGGARAAN PENCEGAHAN (PM) UNTUK ALAT AFM NX-10 JENAMA PARK SYSTEM DI MAKMAL I-CRIM, ALAF-UKM",Tung,Park System,Preventive Maintenance ,"RM5,500.00","18 June, 2025",Online Bidding,Yes,,
154,"16 June, 2025","19 June, 2025",UKM,NETSDP202512437,"USB1/BM-12 MEMESAN, MEMBEKAL DAN MENGHANTAR 1 UNIT UV TRANSLUMINATOR, DI MAKMAL PENGAJARAN MBM, FST",Amanina,Labgic,UV Transilluminator,"RM1,990.00","18 June, 2025",Online Bidding,No,"ACCUFLEX SDN BHD
",
155,"18 June, 2025","20 June, 2025",UKM,NETSDP202512634,"MEMBEKAL , MENGHANTAR BARANG MAKMAL PAKAI HABIS (PH ELECTRODE LE420, EA) KE MAKMAL TRANSDERMAL & PARENTERAL FAKULTI FARMASI, UKM KAMPUS KUALA LUMPUR. [KETUA GERAN : PM DR MOHD HANIF ZULFAKAR / DALILA , GERAN: GP-K014108 ]",Megan,Mettler Toledo,LE420,"RM1,300.00","19 June, 2025",Online Bidding,Yes,,
156,"18 June, 2025","23 June, 2025",UM,K/K08/2025/06/2204,IF101 Logistic Pre-data collection,Hock Seng,,Logistic Arrangement for Tawau Trip,"RM20,000.00","19 June, 2025",Online Bidding,Yes,,
157,"17 June, 2025","24 June, 2025",UTAR,FS/DAFS/2025/250425/MT013,Replacement pH Meter Probe,Megan,Mettler Toledo,LE438,"RM5,040.00","19 June, 2025",Online Bidding,Yes,,
158,"29 May, 2025","23 June, 2025",UPSI,UPSI/T/06/2025,"TENDER BAGI MEMBEKAL, MENGHANTAR DAN MENGUJITERIMA (DI MANA BERKENAAN) PERALATAN SAINTIFIK MAKMAL BAGI KEPERLUAN MAKMAL JABATAN BIOLOGI, FAKULTI SAINS DAN MATEMATIK, UNIVERSITI PENDIDIKAN SULTAN IDRIS, TANJONG MALIM, PERAK",Amanina,,Multiple Items,"RM1,095,340.00","20 June, 2025",Hardcopy by Hand,Yes,,"DMB Kembara PO Life Science (RM 2,231.00)"
159,"20 June, 2025","25 June, 2025",UKM,NETSDP202512925,MENYELENGGARA DAN MENGUJI SATU UNIT EPPENDORF CENTRIFUGE DI MAKMAL JABATAN FARMAKOLOGI UKM,Rafeeq,Eppendorf,Centrifuge 5702 / 0012015,RM900.00,"24 June, 2025",Online Bidding,Yes,,
160,"20 June, 2025","26 June, 2025",UKM,NETSDP202512811,"USB3-2025-VTX MEMBEKAL , MENGHANTAR DAN MENGUJILARI VORTEX MIXER KE FST",Suzanna,Wiggens,Vortex3000,"RM2,655.00","25 June, 2025",Online Bidding,No,"BIOMICS SOLUTION SDN BHD
",
161,"16 June, 2025","3 July, 2025",UMT,UMT/SH103/2025,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA PERALATAN MAKMAL (DISSECTING MICROSCOPE)  BAGI KEGUNAAN UNIVERSITI MALAYSIA TERENGGANU",Amanina,"Optika, Bestscope",Microscope,"RM331,522.00","3 July, 2025",Hardcopy by Hand,,,
162,"23 June, 2025","30 June, 2025",UKM,NETSDP202512993,"MEMBEKAL, MENGHANTAR, MEMASANG DAN MENTAULIAH UPRIGHT FREEZER UNTUK KEGUNAAN PENGAJARAN MENGGUNAKAN PERUNTUKAN RMK12 RP5, TABUNG PDE119 (JSBAS26/2025)",Suzanna,Mether,MDF-25V328E ,"RM13,400.00","30 June, 2025",Online Bidding,No,"AMAN SINARAN SDN BHD
",
163,"30 June, 2025","4 July, 2025",UKM,NETSDP202513489,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAHGUNA ALAT PENYELIDIKAN UV VIS NANOSPECTROMETER DI INSTITUT BIOLOGI SISTEM, UKM, BANGI (RP5)",Suzanna,Berthold,Colibri+,"RM46,680.00","4 July, 2025",Online Bidding,No,"PLT SCIENTIFIC SDN BHD
",
165,"19 June, 2025","7 July, 2025",UMT,UMT/SH106/2025,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENUGASMULA PERALATAN MAKMAL (AUTOMATED ROTARY EVAPORATOR) BAGI KEGUNAAN MAKMAL PENYELIDIKAN, UNIVERSITI MALAYSIA TERENGGANU",Huda,Buchi,Rotavapor R-300 Pro,"RM395,000.00","3 July, 2025",Hardcopy by Courier,,,
166,"30 June, 2025","8 July, 2025",Boustead Life Science,RFQ-BEA-25-0039,To purchase 3-door laboratory or commercial chiller/ fridge with standard storage temperature 2-4 degree Celsius to store MS Stock Solution for Tissue Culture Media Preparation,Choi,Mether,Chiller,"RM20,800.00","7 July, 2025",Online Bidding,,,
167,"2 July, 2025","8 July, 2025",UM,K/K08/2025/06/2166 UMG001,UMG001 Supplies & Other Materials B27000,Hock Seng,,Multiple Items,"RM5,340.00","8 July, 2025",Online Bidding,Yes,,
168,"26 June, 2025","8 July, 2025",UITM,UiTM/B2/PER/SHR/B/0625/0009,"CADANGAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENYELENGGARA PERALATAN MAKMAL UNTUK KEPERLUAN MAKMAL PENGAJARAN & PEMBELAJARAN BIOLOGI, KIMIA, FIZIK DI FAKULTI PENDIDIKAN, UiTM CAWANGAN SELANGOR, KAMPUS PUNCAK ALAM.",ET Lim,,Multiple Items,"RM159,360.00","8 July, 2025",Online Bidding,,,DMB Kembara Sdn Bhd
169,"9 July, 2025","14 July, 2025",UM (FOMSTORE),M/M01/2025/07/5754,"Pembelian DMEM High Glucose untuk tambahan semula stok bahan bekalan guna habis di FOM Supply Store, Fakulti Perubatan, UM",ET Lim,Genedirex,DMEM consumables,RM250.20,"9 July, 2025",Online Bidding,Yes,,
170,"8 July, 2025","15 July, 2025",HOSPITAL KOTA TINGGI,QT250000000021778,"SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENGUJITAULIAH 20 UNIT PETI SEJUK FARMASEUTIKAL SATU PINTU BERKUNCI BESERTA SISTEM PENGGERA BAGI KEGUNAAN DI HOSPITAL PASIR GUDANG, JOHOR.
",Suzanna,Mether,Fridge,"RM142,900.00","15 July, 2025",Online Bidding,No,"TRUE CLINICAL-RESEARCH SERVICES SDN. BHD.	",DMB Kembara Sdn Bhd
171,"17 July, 2025","18 July, 2025",INSTITUT LATIHAN KEMENTERIAN KESIHATAN MALAYSIA SULTAN AZLAN SHAH IPOH PERAK,SQ250000000674535 ,"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH PERALATAN SUKATAN DAN UKURAN BG PROGRAM FARMASI ILKKMSAS",Choi,Mettler Toledo,Balance & pH Meter,"RM15,400.00","18 July, 2025",Online Bidding,Yes,,
172,"18 July, 2025","30 July, 2025",LEMBAGA GETAH MALAYSIA,,PERKHIDMATAN PENYELENGGARAAN BERKALA MESIN (SONOTEK MIST AUTOMIZER) ,Tung,Sonotek,PPM Mist Automizer,"RM5,500.00","18 July, 2025",Email,Yes,,
173,"7 July, 2025","23 July, 2025",Avisena Women’s & Children’s Specialist Hospital,AVSN/AWCSH/RFX/25/0373,"Supply, Delivery & Warranty Digital Cell Counter",Suzanna,Logos Biosystem,Luna FX7,"RM62,920.00","23 July, 2025",Online Bidding,,,
174,"17 July, 2025","24 July, 2025",UTAR,"FS/FGO/ChyeML/012",Re: Invitation for Quotation for chemicals,Choi,Phytotech,Chemicals,RM640.00,"23 July, 2025",Email,,,
175,"23 July, 2025","25 July, 2025",STRIDE,SQ250000000692611,Penyelenggaraan & Pensijilan Class II BSC & Laminar Airflow di Makmal Mikologi Blok C,Zul,,PPM BSC,"RM2,300.00","24 July, 2025",Online Bidding,Yes,,
176,"23 July, 2025","25 July, 2025",MPOB,4901,Perolehan Membekal dan Menghantar serah Satu Set Unit pippette (6 unit) beserta kelengkapan ke Makmal Unit PPB Ibu Pejabat MPOB,Choi,Dlab,Hipette,"RM2,700.00","24 July, 2025",Online Bidding,,,
177,"15 July, 2025","25 July, 2025",NCFS,QT250000000018597,"SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG DAN MENTAULIAHKAN PERALATAN MICROWAVE DIGESTOR BAGI NATIONAL CENTRE FOR FOOD SAFETY (NCFS), PROGRAM KESELAMATAN DAN KUALITI MAKANAN (PKKM), KEMENTERIAN KESIHATAN MALAYSIA (KKM)",Megan,CEM,Mars 6 iWave,"RM184,000.00","25 July, 2025",Hardcopy by Hand,No,ANTON PAAR MALAYSIA SDN. BHD,
178,"16 July, 2025","28 July, 2025",UTAR,FES-2507P-C18-CL,Rocker pump accessories,Chang,Rocker Scientific,Accessories,"RM1,388.00","25 July, 2025",Hardcopy by Courier,,,
179,"17 July, 2025","28 July, 2025",UTAR,FES-R2507P-SL-W02,Rocker pump accessories,Chang,Rocker Scientific,Accessories,RM438.00,"25 July, 2025",Hardcopy by Courier,,,
180,"23 July, 2025","28 July, 2025",UKM,NETSDP202515528,"USB1/BM-14 MEMESAN, MEMBEKAL DAN MENGHANTAR 5 UNIT MICROPIPETTE RANGE 100-1000UL, DI MAKMAL PENGAJARAN MBM, FST",Amanina,Mettler Toledo,Pipettes,"RM3,850.00","25 July, 2025",Online Bidding,No,"K-TECH ENTERPRISE
",
181,"29 July, 2025","31 July, 2025",UKM,NETSDP202515946,MEMBEKAL DAN MENGHANTAR BAHAN KIMIA KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FRGS/1/2023/SKK10/UKM/02/3. KETUA GERAN TS DR WONG SOK KUAN,Amanina,OZ Bioscience,SilenceMag,"RM4,205.00","29 July, 2025",Online Bidding,Yes,,
182,"25 July, 2025","29 July, 2025",MPOB,4600,Pembelian satu unit beg mixer,Choi,Interscience,Bag Mixer,"RM13,030.00","29 July, 2025",Online Bidding,,,
183,"25 July, 2025","28 July, 2025",UM,S/J153/2025/01/1626,LEAK TEST FOR MIKROUNA THERMAL EVAPORATOR GLOVEBOX (UM.0000204/KWJ.AK - TABUNG LDMRC),Tung,Mikrouna,Leak Test,"RM2,500.00","28 July, 2025",Online Bidding,Yes,,
184,"23 July, 2025","31 July, 2025",UPM,UPM SH076/2025/7515403/UPMS,"SEBUTHARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJILARI DAN MENTAULIAH SATU *1* UNIT INCUBATOR SHAKER, SEMBILAN *9* UNIT CHILLER, TIGA *3* UNIT DEEP FREEZER DAN SATU *1* UNIT REFRIGERATOR DI FAKULTI PERHUTANAN DAN ALAM SEKITAR UNIVERSITI PUTRA MALAYSIA, SERDANG, SELANGOR DARUL EHSAN *RMKe-12 PEROLEHAN PERLATAN MAKMAL PENGAJARAN DAN PENYELIDIKAN*",Choi,,Multiple Items,"RM179,000.00","30 July, 2025",Online Bidding,,,
185,"28 July, 2025","31 July, 2025",UM,M/M27/2025/07/5887,Pembelian Multichannel Pipette 50-300ul untuk tujuan penyelidikan (Jabatan Sains Bioperubatan),Suzanna,Dlab,Multi-Channel Pipette,RM945.00,"31 July, 2025",Online Bidding,Yes,,
186,"18 July, 2025","1 August, 2025",MGVI,NIBM-MGVI/PRC/RFQ/04/2025-010,"MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI TIGA (3) UNIT BIOSAFETY CABINET BAGI PROJEK DPVN mRNA VACCINE DI INSTITUT GENOM DAN VAKSIN MALAYSIA (MGVI), INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",ET Lim,Airtech,BSC,"RM101,730.00","1 August, 2025",Hardcopy by Hand,,,Gaia & DMB
187,"29 July, 2025","31 July, 2025",UKM,NETSDP202516064,MEMBEKAL DAN MENGHANTAR SPIN COATER MENGGUNAKAN RS-2024-007 (PROF DR NORASIKIN),Shahrul,Lebo Science,EZ4,RM8500.00,"31 July, 2025",Online Bidding,No,"SCIENFIELD EXPERTISE PLT
",
188,"29 July, 2025","31 July, 2025",UKM,NETSDP202516061,"	MEMBEKAL DAN MENGHANTAR DIGITAL DISPLAY MAGNETIC HOPLATE STIRRER MENGGUNAKAN RS-2024-007 (PROF DR NORASIKIN)",Shahrul,Wiggens,WH260-H,"RM3,820.00","31 July, 2025",Online Bidding,No,"BIOTEK ABADI SDN BHD
",
189,"28 July, 2025","1 August, 2025",UTAR,MK FMHS.RFQ.25.104,Supply Biosafety Cabinet,ET Lim,Airtech,BSC,"RM32,280.00","1 August, 2025",Email,,,
190,"4 August, 2025","4 August, 2025",Duopharma,2025080401,Purchase of 1 unit of Automatic Disintegration Tester,Gan Wan Han,Sotax,DT50,"RM215,000.00","4 August, 2025",Online Bidding,,,
191,"23 July, 2025","6 August, 2025",MGVI- NIBM,NIBM-MGVI/PRC/RFQ/04/2025-012,"MEMBEKAL, MENGHANTAR, MEMASANG, DAN MENGUJI SEHINGGA LENGKAP BERFUNGSI PAKEJ PERALATAN ULTRA LOW TEMPERATURE FREEZER (-80C) BAGI PROJEK DPVN MRNA VACCINE DI INSTITUT GENOM DAN VAKSIN MALAYSIA (MGVI), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",ET Lim,Mether,Ultra Low Freezer,"RM49,800.00","6 August, 2025",Hardcopy by Hand,,,
192,"30 July, 2025","6 August, 2025",IMR,QT250000000024573,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENTAULIAH DAN MENYENGGARA (DALAM TEMPOH JAMINAN) - SATU (1) UNIT CO2 INCUBATOR BAGI PERKHIDMATAN GOOD MANUFACTURING PRACTICE (GMP) DI INSTITUT PENYELIDIKAN PERUBATAN (IMR), INSTITUT KESIHATAN NEGARA (NIH), SETIA ALAM, SELANGOR",Amanina,Nuaire,NU-5710E,"RM38,000.00","6 August, 2025",Online Bidding,No,CHEMOPHARM SDN. BHD.,
193,"30 July, 2025","6 August, 2025",IMR,QT250000000018243,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENTAULIAH DAN MENYENGGARA (DALAM TEMPOH JAMINAN) - SATU (1) UNIT FREEZER -40 DEGREE CELSIUS DI UNIT VIROLOGI, INSTITUT PENYELIDIKAN PERUBATAN (IMR), INSTITUT KESIHATAN NEGARA (NIH), SETIA ALAM, SELANGOR",Amanina,Mether,MDF-40V528,"RM24,500.00","6 August, 2025",Online Bidding,No,GELIGA SISTEM SDN. BHD.,
194,"1 August, 2025","7 August, 2025",MPOB,5088,"Perolehan membeli kelengkapan makmal iaitu High Speed Palm Micro Centrifuge bagi kegunaan pengekstrakan DNA, RNA dan kerja-kerja biologi molekul di Makmal Wisma Dura dan Makmal Entomologi 2, bagi Unit EIPM BSRD, Ibu pejabat MPOB.",Choi,Allsheng,Mini-6K,"RM1,860.00","7 August, 2025",Online Bidding,,,
195,"4 August, 2025","7 August, 2025",Pusat Darah Negara,QT250000000018040,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG,
MENGUJI DAN MENTAUHLIAHKAN SATU (1) SET AUTOMATED CELLULAR CLEANSING
SYSTEM DI PUSAT DARAH NEGARA",ET Lim,,Multiple Items,"RM9,960.00","7 August, 2025",Online Bidding,No,PRIMA DIAGNOSTIK SDN. BHD.,DMB Kembara Sdn Bhd
196,"7 August, 2025","11 August, 2025",MPOB,4600,Pembelian satu unit beg mixer,Choi,Interscience,Bag Mixer,"RM13,030.00","11 August, 2025",Online Bidding,,,
197,"4 August, 2025","11 August, 2025",NIH,QT250000000024513,"SEBUT HARGA MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MENTAULIAH DAN MENYENGGARA (DALAM TEMPOH JAMINAN) - SATU (1) UNIT FREEZER -80 DEGREE CELSIUS WITH TEMPERATURE MONITORING PROBE AND BACKUP SYSTEM BAGI PENYELIDIKAN KANSER DI UNIT PATALOGI MOLEKUL, INSTITUT PENYELIDIKAN PERUBATAN (IMR), INSTITUT KESIHATAN NEGARA (NIH), SETIA ALAM, SELANGOR",Amanina,Mether,Ultra Low Freezer,"RM63,300.00","11 August, 2025",Online Bidding,No,"INFINITIVE MEDIC SDN. BHD.	",
198,"8 August, 2025","12 August, 2025",MMU Melaka,PPM Biological safety cabinet,PPM Biological safety cabinet,Zul,,PPM,"RM1,800.00","12 August, 2025",Email,,,
199,"13 August, 2025","14 August, 2025",IMR,SQ250000000776010 ,Ozone Sterilisation Cabinet & Thermometer,Amanina,Biobase,Ozone Sterilisation Cabinet,"RM12,900.00","14 August, 2025",Online Bidding,,,
200,"14 August, 2025","18 August, 2025",UM,M/M27/2025/08/6093,Untuk menukar filter bagi dua unit fumehood di makmal pengajaran Jabatan Sains Bioperubatan Fakulti Perubatan Universiti Malaya,Zul,,filters,"RM6,000.00","18 August, 2025",Online Bidding,Yes,,
201,"14 August, 2025","19 August, 2025",MPOB,4669,PEROLEHAN MEMBEKAL DAN MENGHANTAR VETERINARY SURGICAL TABLE BAGI KEGUNAAN MAKMAL KAJIAN MAMMALIA UNIT EIPM STESEN PENYELIDIKAN SESSANG,Choi,TooToo Meditech,Veterinar Surgical Table,"RM38,400.00","18 August, 2025",Online Bidding,,,
202,"15 August, 2025","19 August, 2025",AGENSI NUKLEAR MALAYSIA,SQ250000000781566 ,"Membekal dan Menghantar Magnisium Trisilicate, Zinc Oxide, 4 Agar Powder untuk Pemecilan Pengurai",Hock Seng,,chemicals,"RM2,526.00","18 August, 2025",Online Bidding,Yes,,Charisma Science
203,"19 August, 2025","21 August, 2025",Unisza,UNISZAPT202500207,PEMBELIAN BAHAN KIMIA,Amanina,,Chemicals,"RM21,935.00","21 August, 2025",Online Bidding,Yes,,
204,"15 August, 2025","22 August, 2025",UKM,NETSDP202517596,USS1/SL/22/2025- MEMBEKAL 2 UNIT MICROPIPET BAGI UNIT SEKITARAN 1 MENGGUNAKAN PERUNTUKAN PDE88. ID INVENTORI USL-IV-08,Gan Wan Han,Mettler Toledo,Pipettes,"RM2,300.00","21 August, 2025",Online Bidding,No,"LAB SCIENCE SOLUTION SDN. BHD.
",
205,"26 August, 2025","29 August, 2025",UM,"
K/K08/2025/08/2455",PERKHIDMATAN LOGISTICS-TIKET KAPAL TERBANG UNTUK KAJIAN LAPANGAN DI SEMPORNA PADA 13 OKTOBER SEHINGGA 24 OKTOBER 2025 / NOTICE OF SUBMISSION FOR QUOTATIONS,Hock Seng,,,"RM11,000.00","26 August, 2025",Online Bidding,Yes,,
206,"22 August, 2025","28 August, 2025",MPOB,3092,"Microcentrifuge, 13000 rpm or higher, aerosol protection rotor cover, rotor: 1.5ml tubes x 12 (or more)",Choi,Cence,Microcentrifuge,"RM4,600.00","27 August, 2025",Online Bidding,,,
207,"28 August, 2025","29 August, 2025",IMR,SQ250000000829565 ,Consumable: Proj 23-02629/27000/Maelinda Molpath,ET Lim,Biosharp,cryovial rack,RM60.00,"28 August, 2025",Online Bidding,Yes,,
208,"21 August, 2025","28 August, 2025",UKM,NETSS202500313,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI & MENTAULIAH ALAT MICROWAVE DIGESTOR UNTUK MAKMAL I-CRIM, PUSAT PENGURUSAN MAKMAL ALAMI DAN FIZIKAL UKM (ALAF-UKM)",Megan,CEM,BLADE,"RM272,000.00","28 August, 2025",Online Bidding,No,PRIMA TEKNOLOGI SDN BHD,
210,"27 August, 2025","29 August, 2025",MPOB,3239,Pembelian Ph Meter,Choi,Mettler Toledo,F20,"RM4,030.00","29 August, 2025",Online Bidding,,,
211,"27 August, 2025","29 August, 2025",SIRIM,EQ-2025-3869 ,"Plan Preventive Maintanance (PPM) CO2 Incubator Nuaire and Binder Oven
Description: Plan Preventive Maintanance (PPM) CO2 Incubator Nuaire and Binder Oven",Zul,Nuaire,PPM CO2 incubator & oven,"RM3,490.00","29 August, 2025",Online Bidding,Yes,,
212,"25 August, 2025","29 August, 2025",UTAR,MK FMHS/RFQ/25/084,RFQ Individual Ventilated Cages (IVC) rack for mice,ET Lim,Fengshi,IVC Cages,"RM99,500.00","29 August, 2025",Email,,,
209,"27 August, 2025","29 August, 2025",UKM,NETSDP202518443,MEMBEKAL DAN MENGHANTAR BARANG MAKMAL PAKAI HABIS (SPLA2-IIA ELISA KIT) BAGI PROJEK PENYELIDIKAN MROGS-2023-007 – SAADAH/PROF TAN,Amanina,ELK Biotech,Elisa Kit,"RM3,900.00","29 August, 2025",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,
213,"28 August, 2025","1 September, 2025",UKM,NETSDP202518629,MEMBEKAL DAN MENGHANTAR BEKALAN MAKMAL KEPADA MUHAMMAD AMIRUL AIMAN BIN ABDUL RANI/PROF. MADYA DR. WONG WAI YIN MENGGUNAKAN GERAN FRGS/1/2023/TK09/UKM/02/1,Hock Seng,Kakuhunter,Consumables,"RM5,500.00","29 August, 2025",Online Bidding,Yes,,
214,"2 September, 2025","9 September, 2025",UKM,NETSDP202518729,USB3-2025-IV04 (HPS) MEMBEKAL DAN MENGHANTAR SET LENGKAP HOTPLATE STIRRER UNTUK KEGUNAAN AMALI MIKROBIOLOGI KE FST,Amanina,Wiggens,Hotplate WH260-H,"RM3,890.00","3 September, 2025",Online Bidding,No,INNOWAWASAN SDN BHD,
215,"2 September, 2025","10 September, 2025",Radicare (M) Sdn Bhd,81699,Anton Paar Microwave Digester,Thaqib,CEM,PPM Mars 6,"RM1,500.00","3 September, 2025",Online Bidding,Yes,,
216,"3 September, 2025","4 September, 2025",UKM,NETSDP202518902,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS (PH BUFFER) UNTUK PENYELIDIKAN JABATAN FISIOLOGI. PERUNTUKAN B27200/BIL8/2025,Amanina,Mettler Buffer,Buffer,RM355.00,"4 September, 2025",Online Bidding,Yes,,
217,"3 September, 2025","10 September, 2025",UKM,NETSDP202518813 ,USB3-2025-IV02 (VCP) MEMBEKAL DAN MENGHANTAR SET LENGKAP VACUUM PUMP UNTUK KEGUNAAN AMALI STBM3033 KE FST,Amanina,Rocker Scientific,Rocker 300,"RM2,400.00","9 September, 2025",Online Bidding,Yes,,
218,"8 September, 2025","9 September, 2025",MPOB,4463,"Untuk membekal, menghantarserah dan mengujilari satu (1) unit peralatan Lab Refrigerator di Unit Genomik, ABBC, Ibu Pejabat MPOB 
",Choi,Mether,MPC-5V1006,"RM14,940.00","9 September, 2025",Online Bidding,,,
219,"10 September, 2025","12 September, 2025",UKM,NETSDP202519368,"MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS MAGNETIC CANTILEVER UNTUK ALAT AFM DI MAKMAL I-CRIM, ALAF-UKM",Isyraf,Park System,PPP-MFMR Cantilever,"RM7,200.00","11 September, 2025",Online Bidding,No,,
220,"11 September, 2025","12 September, 2025",NIH,SQ250000000878190 ,"Laru-Aset Ozone UV Sterilization Cabinet ,70L",Amanina,Biobase,Ozone Cabinet,"RM7,000.00","11 September, 2025",Online Bidding,Yes,,
221,"11 September, 2025","12 September, 2025",NIH,SQ250000000878319 ,Laru- Aset Type T Thermocouple Thermometer,Amanina,Kent Scientific,Thermometer,"RM5,900.00","11 September, 2025",Online Bidding,Yes,,
222,"11 September, 2025","12 September, 2025",NIH,SQ250000000879956 ,Consumable: Proj 23-02629/27000/Maelinda Molpath,ET Lim,Biosharp,consumables,RM60.00,"11 September, 2025",Online Bidding,Yes,,
