2024 - Tender Sebutharga Summary,,,,,,,Awarded to Gaia,PO from dealer,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No ,Starting Date,Due Date,Institutions/University,Reference No,Bidding Title,SalesPerson,Product Brand,Product Model,Amount Value,Submitted Date,Submission Method,Success,Winning Company,Remark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"18 January, 2024","22 January, 2024",UM,S/S03/2024/01/82274,AUTOCLAVE PREVENTIVE MAINTENANCE & LICENSE RENEWAL,Izad,,PPM Service,"RM1,350.00","22 January, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"17 January, 2024","24 January, 2024",USM,SH3/24/P/PPSG/U/066,"TO SUPPLY, DELIVER, INSTALL AND COMMISSIONING “DIGITAL MICROHARDNESS TESTER” TO SCHOOL
OF DENTAL SCIENCES, HEALTH CAMPUS, UNIVERSITI SAINS MALAYSIA, KUBANG KERIAN, KELANTAN.",Shahrul,Innovatest,Microhardness tester,"RM180,000.00","23 January, 2024",Online Bidding,Yes,DMB (On behalf Gaia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"22 January, 2024","31 January, 2024",UKM ,NETSDP202402260,"PERKHIDMATAN BAIK PULIH, PENYELENGGARAAN DAN KALIBRASI SEUNIT MINI SPRAY DRYER DI MAKMAL PENGILANGAN & FORMULASI, FAKULTI FARMASI, UKM KKL. GUNA PERUNTUKAN DANA PENYELIDIKAN GUNASAMA UKM 2023.",Tung,Buchi,Replacement parts,"RM12,608.00","23 January, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"16 January, 2024","30 January, 2024","IPHARM, NIBM",NIBM-IPH/PRC/RFQ/04/2024-01,"MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SEHINGGA LENGKAP BERFUNGSI PERALATAN TRACKING SYSTEM FOR ANIMAL BEHAVIORAL STUDY DI INSTITUT FARMASEUTIKAL DAN NUTRASEUTIKAL MALAYSIA (IPHARM), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,Ugo Basile,Animal Tracking System,"RM148,000.00","24 January, 2024",Hardcopy by Courier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"23 January, 2024","30 January, 2024",STRIDE,QT230000000029741,"PEROLEHAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH SATU (1) UNIT COLOUR FASTNESS AND LAUNDERING TESTER DI BAHAGIAN TEKNOLOGI PERLINDUNGAN DAN BIOFIZIKAL (BTPB), INSTITUT PENYELIDIKAN SAINS DAN TEKNOLOGI PERTAHANAN (STRIDE), KAJANG, SELANGOR.",Wan Han,ChiuVention,WashTrue,"RM130,000.00","29 January, 2024",Online Bidding,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"29 January, 2024","31 January, 2024",UKM ,NETSDP202402756,MEMBEKAL DAN MENGHANTAR KIT BAHAN PAKAI HABIS KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN GUP-2021-034. DR WONG SOK KUAN,ET Lim,OZ Bioscience,In vivo Silence Mag,"RM3,200.00","29 January, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"25 January, 2024","1 February, 2024",UMP,UMPSA/BEND/EBID/SH.B/2024(9)," MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI DAN MENGUJI SEPULUH UNIT PH METER DI FAKULTI SAINS DAN TEKNOLOGI INDUSTRI, UMPSA KAMPUS GAMBANG.",Huda,Mettler,F20,"RM35,900.00","1 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"25 January, 2024","8 February, 2024",UMP,UMPSA/BEND/EBID.SH/2024(12),"Supply, Delivery, Installation, Testing And Commissioning Of 2 Units Biological Safety Cabinet At Industrial Biotechnology Program, Faculty Of Industrial Sciences And Technology, Universiti Malaysia Pahang Al-Sultan Abdullah
",Syahirah,Healforce,Class II A2 type,"RM139,460.00","7 February, 2024",Hardcopy by Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"25 January, 2024","8 February, 2024",UMP,UMPSA/BEND/EBID.SH/2024 (8),"SUPPLY, DELIVERY, INSTALLATION, TESTING AND COMMISSIONING OF 2 UNITS CO2 INCUBATOR AT INDUSTRIAL BIOTECHNOLOGY PROGRAM, FACULTY OF INDUSTRIAL SCIENCES AND TECHNOLOGY, UNIVERSITI MALAYSIA PAHANG AL-SULTAN ABDULLAH",Syahirah,Nuaire,Co2 Incubator,"RM78,400.00","7 February, 2024",Hardcopy by Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"16 January, 2024","2 February, 2024",UTAR,FS/FGO/ChangSK/008,RFQ,Choi,Simply,RT-QPCR kit,"RM1,260.00","2 February, 2024",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"5 February, 2024","6 February, 2024",Jabil , Req #3364976,Exhaust Hose Connection Kit for #558394 Invitation,Shahrul,Local,Exhaust Hose Connection Kit,RM400.00,"5 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"6 February, 2024","9 February, 2024",UKM ,"	NETSDP202403562","PERKHIDMATAN MEMBEKAL, MEMASANG DAN MENGUJI IC BOARD BAGI PERALATAN PENYELIDIKAN AFM-NX10, JENAMA PARKSYSTEM DI MAKMAL I-CRIM, ALAF-UKM",Tung,Park Systems,,"RM25,000.00","7 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"29 January, 2024","6 February, 2024",Jabatan Kimia Negara,QT240000000000052,MEMBEKAL DAN MENGHANTAR PERALATAN BAGI ANALISIS DNA HAIWAN KE JABATAN KIMIA MALAYSIA NEGERI SARAWAK,Choi,,Multiple equipments,"RM179,170.00","6 February, 2024",Online Bidding,No,Multiple company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"6 February, 2024","8 February, 2024",UKM ,NETSDP202403435,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS UNTUK PROJEK PENYELIDIKAN DR NUR HAZLIN HAZRIN CHONG PERUNTUKAN GP-K017901 JABATAN SAINS BIOLOGI DAN BIOTEKNOLOGI FST,ET Lim,ELK Biotech,Elisa Kits,"RM1,170.00","6 February, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"6 February, 2024","9 February, 2024",UKM ,NETSDP202403540 ,MEMBEKAL DAN MENGHANTAR PRIMARY ANTIBODY UNTUK PENYELIDIKAN KE JABATAN FARMAKOLOGI MENGGUNAKAN GERAN FRGS/1/2023/SKK10/UKM/02/3. KETUA GERAN DR WONG SOK KUAN,ET Lim,ELK Biotech,Primary Antibody,"RM2,180.00","7 January, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"9 February, 2024","20 February, 2024",UTAR,FES-R2401P-LowFW-SS01>,"Atomic Force Microscope
(AFM) analysis",Isyraf,Park Systems,Analysis ,"RM1,500.00","19 February, 2024",Hardcopy by Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"7 February, 2024","9 February, 2024",USM,USMPT/INDUK/24/02396,PEMBELIAN ASET: PERALATAN UV VIS ( SINGLE BEAM) PP SAINS KIMIA,Megan,Techcomp,S1010,"RM11,000.00","8 January, 2024",Online Bidding,No,LAB SCIENCE SOLUTION SDN. BHD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"7 February, 2024","14 February, 2024",UKM ,NETSDP202403752,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS PENYELIDIKAN ELISA KIT KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FRGS/1/2021/SKK0/UKM/02/13. KETUA GERAN PM DR NORLIZA MUHAMMAD,ET Lim,ELK Biotech,Elisa Kits,"RM5,210.00","14 February, 2024",Online Bidding,No,NEXT GENE SCIENTIFIC SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"7 February, 2024","14 February, 2024",UKM ,NETSDP202403753,MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS PENYELIDIKAN ELISA KIT KE JABATAN FARMAKOLOGI UNTUK PENYELIDIKAN MENGGUNAKAN GERAN FRGS/1/2021/SKK0/UKM/02/13. KETUA GERAN PM DR NORLIZA MUHAMMAD,ET Lim,ELK Biotech,Elisa Kits,"RM5,210.00","14 February, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"6 February, 2024","26 February, 2024",UTAR,FS/DAHS/2024/E008,"Minicentrifuge with rotors for 8 strips PCR tube and 1.5mL microcentrifuge tube, with adapters for 0.4 and 0.5mL tubes For microfiltration and quick spins",Choi,Allsheng,Minicentrifuge Mini-6K,"RM2,556.00","14 February, 2024",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"13 February, 2024","15 February, 2024",UKM ,NETSDP202404747,MEMBEKAL DAN MENGHANTAR 1 UNIT HORIZONTAL MICROTUBE HOLDER (ZYMORESEARCH/SETARA) DENGAN PENGHNATARAN PALING PANTAS/CEPAT UNTUK PENYELIDIKAN BETA GLUCAN PROF DR SUZANA SHAHAR MENGGUNAKAN GERAN PERUNTUKAN NN-2022-027,Syahirah,Scientific Industries,Horizontal Microtube Holder,RM980.00,"14 February, 2024",Online Bidding,No,HELIX BIOTECH (M) SDN. BHD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"15 February, 2024","20 February, 2024",UKM ,NETSDP202404098,"MEMBEKAL, MENGHANTAR DAN MEMASANG DAN MENGUJI ALAT PROBE SONICATOR UNTUK MAKMAL I-CRIM, UKM",Syahirah,Qsonica,Q125 package,"RM24,400.00","16 February, 2024",Online Bidding,Yes,RASCT SDN. BHD. ,"PO channel (RM20, 690)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"16 February, 2024","22 February, 2024",UiTM,UiTM/B2/PER/PT/B/0224/0088,"CADANGAN MEMBEKAL, MENGHANTAR, MEMASANG DAN MENYELENGGARA SATU (1) UNIT 'FLAMMABLE CABINET' DAN DUA (2) UNIT 'CORROSIVE CABINET' KE FAKULTI PENDIDIKAN, UiTIM KAMPUS PUNCAK ALAM",Syahirah,Justrite,Safety cabinet,"RM19,950.00","19 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"20 February, 2024","26 February, 2024",UM,K/K05/2023/12/67351,LAB CONSUMABLES LABWARE FOR FABRICATION OF BIOSENSOR,Hock Seng,Wiggens,"Glassware , vortex3000","RM1,801.00","22 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"23 February, 2024","26 February, 2024",UM ,K/K06/2023/10/67029,PEMBELIAN EQUIPMENT (RESERVOIR TANK PREFILTER AND CONSUMABLES) UNTUK TUJUAN PENYELIDIKAN,Megan,Millipore,Consumables & tank,"RM18,120.00","23 February, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"20 February, 2024","3 March, 2024",UKM ,NETSDP202404602,"MEMBEKAL DAN MENGHANTAR ELISA KIT HUMAN AGES UNTUK DR GOON/IZYANI MENGGUNAKAN PERUNTUKAN FF-2020-068, N/P: G12/24",Syahirah,ELK Biotech,Elisa Kit,"RM3,400.00","21 February, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"20 February, 2024","3 March, 2024",UKM ,NETSDP202404604,"MEMBEKAL DAN MENGHANTAR ELISA KIT HUMAN LEPTIN UNTUK DR GOON/IZYANI MENGGUNAKAN PERUNTUKAN FF-2020-068, N/P: G11/24",Syahirah,ELK Biotech,Elisa Kit,"RM11,360.00","21 February, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"19 February, 2024","26 February, 2024",JAB. PERIKANAN SARAWAK,QT240000000004379,"SEBUTHARGA MEMBEKAL, MEMASANG DAN MENTAULIAH INSTRUMEN SAINTIFIK
DI MAKMAL PUSAT BIOSEKURITI PERIKANAN WILAYAH SARAWAK, BINTAWA BAGI
TAHUN 2024",Huda,"Interscience, Grant","Flexi pump, Thermoshaker","RM31,200.00","26 February, 2024",Online Bidding,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"22 February, 2024","1 February, 2024",UTAR KAMPAR,FS/FGO/GohWL/004,RFQ,Choi,ELK Biotech,Elisa Kit,"RM1,250.00","28 February, 2024",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"2 February, 2024","28 February, 2024","ABI, NIBM",NIBM-ABI/PRC/TEN/03/2024-001,"PEROLEHAN PERALATAN MAKMAL UNTUK PENAIKTARAFAN MAKMAL TEKNOLOGI MIKROB KEPADA
MAKMAL BERTARAF BIOKESELAMATAN TAHAP 3 (BSL3) DI
ARAS 1, BLOK C, INSTITUT AGROBIOTEKNOLOGI
MALAYSIA (ABI), NATIONAL INSTITUTES OF BIOTECHNOLOGY MALAYSIA (NIBM)",Choi,,Multiple Items,"RM849,940.00","28 February, 2024",Hardcopy by Hand,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"29 February, 2024","7 March, 2024",UKM ,NETSDP202405602,"MEMBELI, MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS (OVEN) UNTUK KEGUNAAN KERJA-KERJA PENYELIDIKAN. PERUNTUKAN : GP-2021-K022639. KETUA PROJEK : DR KUHAN CHANDRU",Syahirah,Biobase,Drying Oven,"RM3,200.00","1 March, 2024",Online Bidding,No,RLAND TECHNIC RESOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"26 February, 2024","6 March, 2024",UKM ,NETSDP202405515,MEMBEKALKAN DAN MENGHANTAR 1 UNIT UNIVERSAL OVEN UNTUK KEGUNAAN MAKMAL HISTOLOGI DI JABATAN FARMAKOLOGI,Syahirah,Biobase,Drying Oven,"RM2,900.00","1 March, 2024",Online Bidding,No,INTERSCIENCE SDN. BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"5 March, 2024","7 March, 2024",UM ,K/K06/2023/10/67028,PEMBELIAN EQUIPMENT (WATER PURIFICATION SYSTEM) UNTIL TUJUAN PENYELIDIKAN.,Megan,Millipore,Direct-Q® 5,"RM19,990.00","5 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"29 February, 2024","7 March, 2024",USM,USMPT/KESIHATAN/24/03922,"MEMBEKAL, MENGHANTAR, MEMASANG DAN KOMISYEN ALATAN SONICATOR KE INFORMM PULAU PINANG",Choi,Qsonica,Q700 sonicator,"RM42,890.00","4 March, 2024",Online Bidding,,Cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"7 March, 2024","8 March, 2024",UKM ,NETSDP202405990 ,"MEMBEKAL DAN MENGHANTAR BAHAN PENYELIDIKAN (DNA LADDER)KE MAKMAL BIOKESELAMATAN, TINGKAT 3 BLOK C FAKULTI SAINS KESIHATAN UKM MENGGUNAKAN PERUNTUKAN DR YAP WEI BOON GP-K019629",Syahirah,Simply,DNA Ladder,RM310.00,"7 March, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"5 March, 2024","14 March, 2024",UTAR KAMPAR,FSc/DAHS/2024/C010,Quotation for Medical Histology Slide,Choi,Happy Science,Histology Slide Set,"RM4,200.00","7 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"6 March, 2024","7 March, 2024",USM,USMPT/KESIHATAN/24/04181,MEMBEKAL DAN MENGHANTAR KEPERLUAN PENYELIDIKAN (R503-KR-FRG001-0006171332-K134) DR. NUR SALWANI BINTI BAKAR / ASMAA' MOHD SATAR / DR. TAN SUAT CHENG,Syahirah,Merck,consumables,"RM4,900.00","7 March, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"7 March, 2024","9 March, 2024",UKM ,NETSDP202406011,"MEMBEKAL DAN MENGHANTAR ELISA KIT UNTUK PENYELIDIKAN (PROF SUZANA MAKPOL/RIZWANA) DENGAN MENGGUNAKAN PERUNTUKAN TAP-K006488, N/P:G014/24",Syahirah,ELK Biotech,Elisa Kit,"RM4,590.00","7 March, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"13 March, 2024","15 March, 2024",UM ,K/K06/2023/10/67031,PEMBELIAN ANALYTICAL BALANCE DAN PIPETTE UNTUK TUJUAN PENYELIDIKAN,Megan,Mettler Toledo,Balance & pipette,"RM15,506.00","13 March, 2024",Online Bidding,No,BIOTEK ABADI SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6 March, 2024","11 March, 2024",UKM ,NETSDP202406134,"MEMBEKAL DAN MENGHANTAR BAHAN PAKAI HABIS (SONICATOR PROBES) KE MAKMAL PENYELIDIKAN FARMASEUTIK, FAKULTI FARMASI, UKM KKL. KETUA PROJEK : PM DR. FAZREN AZMI. PRIHATIN-2021-001/3.",Megan,Qsonica,Probes,"RM4,120.00","11 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"5 March, 2024","19 March, 2024",UTAR KAMPAR,FSc/DAHS/2024/E013,RFQ ELECTROPHORESIS SYSTEM & MICROPIPETTES,Choi,Biobase,BK-VET02,"RM5,170.00","12 March, 2024",Hardcopy by Courier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"6 March, 2024","11 March, 2024",UKM ,NETSDP202406132,"MEMBEKAL DAN MENGHANTAR PERALATAN MAKMAL (LIPID NANOPARTICLE PACK) KE FAKULTI FARMASI, UKM, KKL. [GERAN : PRIHATIN-2021-001/3] [KETUA PROJEK : P.M. DR. FAZREN AZMI]",Shahrul,ElveFlow,Lipid Nanoparticle Pack,"RM47,600.00","11 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"11 March, 2024","13 March, 2024",UKM ,NETSDP202406143 ,"MEMBEKAL DAN MENGHANTAR ELISA KIT (TNF-ALPHA) UNTUK PENYELIDIKAN (PROF DR SUZANA MAKPOL/RIZWANA) DENGAN MENGGUNAKAN PERUNTUKAN FF-2022-402, N/P: G016/24",Syahirah,ELK Biotech,Elisa Kit,"RM1,715.00","12 March, 2024",Online Bidding,No,INSPHIRO TECHNOLOGIES SDN BHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"11 March, 2024","13 March, 2024",UM ,Y2/Y201/2024/03/83319,Menyelenggara dan Membaiki Rocker Switch dan Toothed Wheel bagi Vacuum Pump V-700 di IOES (IF045-2019),Huda,Buchi,Parts,"RM2,500.00","12 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"7 March, 2024","14 March, 2024",USM,USMPT/INDUK/24/04329,"TO SUPPLY, DELIVER AND INSTALL RABBIT CAGES",Choi,Hong Teng,Rabbit Cages,"RM19,000.00","14 March, 2024",Online Bidding,No,INTERSCIENCE SDN. BHD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"18 March, 2024","21 March, 2024",UM,Y4/Y401/2024/03/57158,"MEMBEKAL DAN MENGHANTAR BLOOD COLLECTION TUBES, SYRINGES AND NEEDLES UNTUK TROPICAL INFECTIOUS DISEASES RESEARCH & EDUCATION CENTRE (TIDREC), UNIVERSITI MALAYA. U/P: DR. POUYA HASSANDARVISH",Syahirah,Kent Scientific,Microvette,"RM3,410.00","18 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"7 March, 2024","14 March, 2024",USM,USMPT/INDUK/24/04384,"	
MEMBEKAL, MENGHANTAR, MEMASANG DAN KOMISYEN ULTRAPURE WATER PURIFICATION SYSTEM",Choi,Adrona,Crystal Ex Bio,"RM22,800.00","14 March, 2024",Online Bidding,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"18 March, 2024","21 March, 2024",UM,Y4/Y401/2024/03/57157,"Purchasing Collison Nebuliser For Aerobiology Research Purposes (Attn: Daniel Chung, AVL HIR Building)",ET Lim,CH Technologies,Collision Nebulizer,"RM12,230.00","18 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"15 March, 2024","25 March, 2024",LGM, LGM/SH/BTK/USTL/2024,Preventive Maintenance Mesin AFM,Tung,Park Systems,Service,"RM11,500.00","21 March, 2024",Hardcopy by Hand,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"13 March, 2024","20 March, 2024",UKM ,NETSDP202406390,PENYELENGGARAAN ALAT PENYELIDIKAN DI MAKMAL GENOMIK INBIOSIS - PLANT GROWTH CHAMBER PERCIVAL (DPG),Izad,Percival,Control board,"RM13,450.00","19 March, 2024",Online Bidding,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
